url,rental,bedroom,bathroom,carpool,address,property_type,is_air_conditioning,is_floorboard,is_furnished,is_outdoor,is_secure,is_sports,is_recorded
/property-apartment-wa-nedlands-420586246,$485 per week,2,2,1,"5/89 Winthrop Ave, Nedlands, WA 6009",Apartment,1,0,0,1,1,0,1
/property-unit-wa-perth-420586410,$550 per week,2,2,1,"65/375  Hay Street, Perth, WA 6000",unknown,0,0,0,0,0,0,0
/property-villa-wa-como-417510962,$300 per week,2,1,1,"7/96 Edgecumbe Street, Como, WA 6152",Villa,1,0,0,1,1,0,1
/property-apartment-wa-perth-420701470,$450 per week,2,2,2,"21/226 Beaufort Street, Perth, WA 6000",Apartment,1,0,0,1,1,0,1
/property-unit-wa-doubleview-412731095,$420 per week,3,1,2,"1/111 Ewen Street, Doubleview, WA 6018",Unit,1,0,0,1,1,0,1
/property-townhouse-wa-scarborough-420584682,$650 per week,3,2,2,"2/15 Nautalis Crescent, Scarborough, WA 6019",Townhouse,1,1,0,1,1,0,1
/property-apartment-wa-perth-418329974,$410 per week,1,1,1,"16/369 Hay Street, Perth, WA 6000",Apartment,1,0,1,1,1,1,1
/property-house-wa-inglewood-420419802,$360 per week,3,1,1,"327A Crawford Road, Inglewood, WA 6052",House,1,0,0,1,1,0,1
/property-apartment-wa-south+perth-409971023,$300 per week,1,1,1,"35/16 Hensman Street, South Perth, WA 6151",Apartment,1,0,1,1,1,0,1
/property-house-wa-kingsley-420142074,$360 Per Week,4,1,1,"83 Kingsley Drive, Kingsley, WA 6026",House,1,0,0,0,1,0,1
/property-house-wa-como-420694258,$420 per week,3,1,2,"1/309 Canning Highway, Como, WA 6152",House,1,1,0,1,1,0,1
/property-house-wa-canning+vale-420393234,$350 per week,3,2,1,"1 Hambly Crescent, Canning Vale, WA 6155",House,1,0,0,0,1,0,1
/property-townhouse-wa-maylands-420309522,$360 per week,3,1,1,"7/18 Watson Place, Maylands, WA 6051",unknown,0,0,0,0,0,0,0
/property-villa-wa-balga-420371734,$330 per week,3,2,2,"2/2b Chailey Place, Balga, WA 6061",Villa,1,0,0,1,1,0,1
/property-apartment-wa-east+perth-420580862,$450 per week,2,2,1,"6/32 Eastbrook Terrace, East Perth, WA 6004",Apartment,0,0,0,1,1,0,1
/property-apartment-wa-midland-420580758,$410 per week,2,1,1,"59/21 Foundry Road, Midland, WA 6056",Apartment,1,0,1,1,1,0,1
/property-apartment-wa-midland-420580714,$440 per week,2,2,1,"34/21 Foundry Road, Midland, WA 6056",Apartment,1,0,1,1,1,1,1
/property-apartment-wa-east+perth-411341663,$550 per week,2,2,1,"14/148 Adelaide Terrace, East Perth, WA 6004",Apartment,1,0,1,1,1,1,1
/property-unit-wa-kardinya-406130606,$300 per week,2,1,1,"38/2 Pinewood Avenue, Kardinya, WA 6163",Unit,1,0,0,1,1,1,1
/property-townhouse-wa-south+perth-413139119,$410 per week,1,1,1,"4/6 Brookside Avenue, South Perth, WA 6151",Townhouse,1,0,1,1,1,0,1
